timestamp,open,high,low,close,adjusted close,volume,dividend amount
2025-11-26,299.1800,307.1800,297.0600,303.2100,303.2100,11072408,0.0000
2025-11-21,305.5900,306.0000,288.0700,297.4400,297.4400,23675512,0.0000
2025-11-14,306.8200,324.9000,297.5900,305.6900,305.6900,22302392,1.6800
2025-11-07,308.0000,315.4400,296.0000,306.3800,304.7239,27157777,0.0000
2025-10-31,307.8000,319.3500,301.6300,307.4100,305.7484,32440643,0.0000
2025-10-24,281.2500,310.7500,263.5623,307.4600,305.7981,51704434,0.0000
2025-10-17,279.7900,285.4500,272.5469,281.2800,279.7596,19005226,0.0000
2025-10-10,288.6100,301.0425,277.5000,277.8200,276.3183,24789984,0.0000
2025-10-03,286.0000,293.3200,279.6600,288.3700,286.8113,24519701,0.0000
2025-09-26,266.6200,288.8500,266.0000,284.3100,282.7732,34154715,0.0000
2025-09-19,254.0200,267.8700,254.0000,266.4000,264.9600,25569601,0.0000
2025-09-12,248.6300,260.6600,247.0200,253.4400,252.0701,24066143,0.0000
2025-09-05,240.9000,249.2800,238.2500,248.5300,247.1866,14538355,0.0000
2025-08-29,242.5650,245.9600,239.4300,243.4900,242.1739,18386656,0.0000
2025-08-22,239.5700,243.6800,238.6500,242.0900,240.7814,16264747,0.0000
2025-08-15,242.2400,243.1500,233.3600,239.7200,238.4243,32747166,0.0000
2025-08-08,251.0500,255.0000,241.6500,242.2700,240.9605,27875384,1.6800
2025-08-01,260.3000,265.7999,245.6100,250.0500,246.9857,29960567,0.0000
2025-07-25,286.2900,288.0800,252.7500,259.7200,256.5372,46388289,0.0000
2025-07-18,282.8300,287.1600,279.8700,285.8700,282.3668,16341671,0.0000
2025-07-11,292.5000,295.6100,282.2100,283.5900,280.1147,17664449,0.0000
2025-07-03,290.9300,295.1081,286.9000,291.9700,288.3920,11878987,0.0000
2025-06-27,281.6500,296.1600,280.2100,289.7000,286.1498,19051199,0.0000
2025-06-20,279.3050,286.9100,277.2000,280.9700,277.5268,17965949,0.0000
2025-06-13,268.1000,283.0600,266.7100,277.2200,273.8228,20812836,0.0000
2025-06-06,257.8500,270.1700,257.2200,268.8700,265.5751,13070565,0.0000
2025-05-30,261.0000,265.0000,256.7700,259.0600,255.8853,17566804,0.0000
2025-05-23,265.4500,269.2800,255.7900,258.6300,255.4606,15204641,0.0000
2025-05-16,252.5000,267.9800,244.6500,266.7600,263.4909,20440246,0.0000
2025-05-09,243.7400,256.5200,243.6400,249.2000,246.1461,16977083,1.6800
2025-05-02,232.8600,245.6900,232.0700,245.5500,240.9167,20198202,0.0000
2025-04-25,238.0650,249.3400,224.4401,232.4100,228.0246,39218052,0.0000
2025-04-17,239.7700,243.2999,235.8900,238.8100,234.3039,16190928,0.0000
2025-04-11,219.2400,237.5800,214.5000,235.4800,231.0367,31932696,0.0000
2025-04-04,242.7400,252.7900,226.8800,227.4800,223.1877,28005665,0.0000
2025-03-28,247.3100,254.3200,242.0700,244.0000,239.3960,18354282,0.0000
2025-03-21,249.2500,254.6300,237.2240,243.8700,239.2684,27866866,0.0000
2025-03-14,261.5600,266.4500,241.6800,248.3500,243.6639,25513710,0.0000
2025-03-07,254.7350,261.9600,245.1823,261.5400,256.6050,22284160,0.0000
2025-02-28,261.5000,263.8450,246.5400,252.4400,247.6767,25541761,0.0000
2025-02-21,261.9300,265.0900,259.8300,261.4800,256.5461,18534169,0.0000
2025-02-14,250.8600,261.9400,246.8700,261.2800,256.3499,19898073,1.6700
2025-02-07,252.4000,265.7200,251.8400,252.3400,245.9310,30149848,0.0000
2025-01-31,222.1900,261.8000,219.8400,255.7000,249.2056,39048997,0.0000
2025-01-24,224.9900,227.4500,220.3500,224.8000,219.0904,15594637,0.0000
2025-01-17,217.8900,225.9550,214.6100,224.7900,219.0807,18990367,0.0000
2025-01-10,223.0000,226.7110,216.8000,219.7500,214.1687,12337094,0.0000
